row_0,CE,ED,ITC,SPR,UV,Technique_Count
17319,1,1,1,1,1,5
17334,1,1,1,1,1,5
17345,1,1,1,1,1,5
17347,1,1,1,1,1,5
17362,1,1,1,1,1,5
17368,1,1,1,1,1,5
17376,1,1,1,1,1,5
17447,1,1,1,1,1,5
17478,1,1,1,1,1,5
17497,1,1,1,1,1,5
17514,1,1,1,1,1,5
17517,1,1,1,1,1,5
17561,1,1,1,1,1,5
17562,1,1,1,1,1,5
17568,1,1,1,1,1,5
17578,1,1,1,1,1,5
17620,1,1,1,1,1,5
17630,1,1,1,1,1,5
17632,1,1,1,1,1,5
17698,1,1,1,1,1,5
17716,1,1,1,1,1,5
17748,1,1,1,1,1,5
17754,1,1,1,1,1,5
17761,1,1,1,1,1,5
17790,1,1,1,1,1,5
17821,1,1,1,1,1,5
17822,1,1,1,1,1,5
17855,1,1,1,1,1,5
17895,1,1,1,1,1,5
17939,1,1,1,1,1,5
17987,1,1,1,1,1,5
17992,1,1,1,1,1,5
17996,1,1,1,1,1,5
17997,1,1,1,1,1,5
18019,1,1,1,1,1,5
18021,1,1,1,1,1,5
18049,1,1,1,1,1,5
18050,1,1,1,1,1,5
18059,1,1,1,1,1,5
18085,1,1,1,1,1,5
18132,1,1,1,1,1,5
18133,1,1,1,1,1,5
18135,1,1,1,1,1,5
18139,1,1,1,1,1,5
18152,1,1,1,1,1,5
18154,1,1,1,1,1,5
18186,1,1,1,1,1,5
18220,1,1,1,1,1,5
18222,1,1,1,1,1,5
18234,1,1,1,1,1,5
18237,1,1,1,1,1,5
18243,1,1,1,1,1,5
18248,1,1,1,1,1,5
18254,1,1,1,1,1,5
18257,1,1,1,1,1,5
18282,1,1,1,1,1,5
18295,1,1,1,1,1,5
18300,1,1,1,1,1,5
18308,1,1,1,1,1,5
18310,1,1,1,1,1,5
18346,1,1,1,1,1,5
18379,1,1,1,1,1,5
18388,1,1,1,1,1,5
18401,1,1,1,1,1,5
18420,1,1,1,1,1,5
18421,1,1,1,1,1,5
18422,1,1,1,1,1,5
18723,1,1,1,1,1,5
22063,1,1,1,1,1,5
22213,1,1,1,1,1,5
22271,1,1,1,1,1,5
22315,1,1,1,1,1,5
22331,1,1,1,1,1,5
22339,1,1,1,1,1,5
22480,1,1,1,1,1,5
22482,1,1,1,1,1,5
22483,1,1,1,1,1,5
22484,1,1,1,1,1,5
22485,1,1,1,1,1,5
22563,1,1,1,1,1,5
22580,1,1,1,1,1,5
22599,1,1,1,1,1,5
22625,1,1,1,1,1,5
22651,1,1,1,1,1,5
22652,1,1,1,1,1,5
22653,1,1,1,1,1,5
22660,1,1,1,1,1,5
22680,1,1,1,1,1,5
22698,1,1,1,1,1,5
22702,1,1,1,1,1,5
22715,1,1,1,1,1,5
22720,1,1,1,1,1,5
22723,1,1,1,1,1,5
22744,1,1,1,1,1,5
22908,1,1,1,1,1,5
22910,1,1,1,1,1,5
22928,1,1,1,1,1,5
22978,1,1,1,1,1,5
22985,1,1,1,1,1,5
23019,1,1,1,1,1,5
23044,1,1,1,1,1,5
23053,1,1,1,1,1,5
23066,1,1,1,1,1,5
23104,1,1,1,1,1,5
23114,1,1,1,1,1,5
23117,1,1,1,1,1,5
23151,1,1,1,1,1,5
23156,1,1,1,1,1,5
23240,1,1,1,1,1,5
23252,1,1,1,1,1,5
23359,1,1,1,1,1,5
23401,1,1,1,1,1,5
23403,1,1,1,1,1,5
23447,1,1,1,1,1,5
23448,1,1,1,1,1,5
23449,1,1,1,1,1,5
23456,1,1,1,1,1,5
23614,1,1,1,1,1,5
23639,1,1,1,1,1,5
23643,1,1,1,1,1,5
