PublicationID	PublicationYear
41210310	2025
36746173	2023
37545534	2023
37894610	2023
41244116	2025
38898327	2024
39831308	2025
39675703	2025
40505863	2025
41012648	2025
40137911	2025
38953372	2024
41323700	2025
40906092	2025
37493609	2023
40085171	2025
39881219	2025
38873918	2024
40918324	2025
37920520	2023
39333367	2024
38786623	2024
41096823	2025
40083929	2025
36945338	2022
40231746	2025
40363817	2025
41003512	2025
40710094	2025
39401417	2024
39693339	2024
38138562	2023
40904624	2025
39939131	2025
40213647	2025
41321999	2025
36144634	2022
37445593	2023
40927425	2025
39632381	2024
40520262	2025
PMC12334614	2025
38675908	2024
40539781	2025
41056186	2025
39644434	2025
38459195	2024
40655077	2025
39398230	2024
38248401	2023
39206846	2024
41253492	2025
40610526	2025
40882972	2025
37990030	2023
39518018	2024
39333069	2024
41303672	2025
39204126	2024
41071818	2025
39636969	2024
41213973	2025
40626872	2025
PPR765027	2023
40328670	2025
39080319	2024
40948397	2025
38202703	2023
40334069	2025
40717647	2025
38625937	2024
39863729	2025
PMC11203631	2024
38152113	2023
40169377	2025
41143950	2025
41477575	2025
38312352	2024
38961200	2024
40918980	2025
41149351	2025
39018495	2024
37887106	2023
40078278	2025
40276565	2025
40407350	2025
41169997	2025
40466907	2025
41032026	2025
38914666	2024
39869771	2025
36257250	2022
38169386	2024
38788899	2024
40621027	2025
40251423	2025
39121996	2024
38391998	2024
41460404	2025
41130953	2025
38809110	2024
35781530	2022
37001826	2023
39840299	2025
41133678	2025
41441186	2025
PMC12340016	2025
39698278	2024
41261397	2025
38533253	2024
40303331	2025
40747931	2025
39015264	2024
38732131	2024
39143619	2024
40600954	2025
40210849	2025
41128768	2025
39595617	2024
39742266	2024
39519232	2024
39582357	2024
38960718	2024
PMC11242627	2024
38623614	2024
39056867	2024
PMC12340037	2025
39660049	2024
41210276	2025
38803393	2024
38225526	2024
41477863	2026
40834437	2025
38211817	2024
38642280	2024
40184469	2025
40113339	2025
39882744	2025
35675480	2022
PMC11843252	2025-02-25
40568588	2025
41001630	2025
40936424	2026
40938559	2025
35320523	2022
40316024	2025
39392057	2024
38465475	2024
36604840	2023
36712825	2023
37901511	2023
38690874	2024
39863300	2025
41362731	2026
41337046	2025
39397705	2024
36829260	2023
38474105	2024
40119938	2025
39654129	2024
38605180	2024
41199503	2025
41226463	2025
39223355	2024
40755491	2025
37218898	2023
40820733	2025
41325773	2025
39470407	2025
40192291	2025
40137569	2025
40970352	2025
39206405	2024
40159541	2025
41050431	2025
PPR758867	2023
40134526	2025
39122008	2024
39028937	2024
38958516	2024
40060852	2025
38958918	2024
PPR1102082	2025
38792165	2024
39840789	2025
38129678	2023
37806493	2023
38272233	2024
37671240	2023
40784455	2025
39772257	2024
40990404	2025
41235398	2025
39273493	2024
37888457	2023
39470577	2024
39737567	2024
36809845	2023
41377136	2025
41178200	2025
PPR1039627	2025
37996967	2024
37446012	2023
PPR717336	2023
40664452	2025
38376730	2024
37060257	2023
40694243	2025
40382635	2025
41193694	2026
40610522	2025
40966081	2025
36852461	2023
38675209	2024
41049787	2025
37527916	2023
40346061	2025
41388020	2025
38176650	2024
40370534	2025
37622108	2023
40977662	2025
39676060	2025
40598805	2025
40650113	2025
40829901	2025
40969389	2025
PPR1107267	2025
37952901	2023
PMC12774438	2025
36910150	2023
41216585	2025
38155191	2023
41164759	2025
40583453	2025
39147701	2025
19373858	2009
38909237	2024
40360531	2025
38310477	2024
PPR1120968	2025
36733826	2023
39201556	2024
39131194	2024
39533298	2024
39552757	2025
39945593	2025
39519692	2024
41163803	2025
37301177	2023
41087580	2025
39849616	2025
41285859	2025
PPR650243	2023
38552741	2024
41381428	2025
39919438	2025
39329798	2024
38802531	2024
39443601	2024
39828098	2025
38069083	2023
PPR1046698	2025
39755927	2025
40238887	2025
39345816	2024
39798874	2025
38889315	2024
41258131	2025
39638851	2024
41117360	2025
37830576	2023
40275251	2025
41408054	2025
39859159	2025
38951906	2024
38779661	2024
36162180	2022
37394197	2023
40681850	2025
40116579	2025
PPR1008537	2025
40266148	2025
37232883	2023
39292169	2024
40859957	2025
41132838	2025
38147316	2024
18335973	2008
39522974	2024
40108246	2025
37390984	2023
39774071	2025
38188541	2024
39815667	2025
38521505	2024
PMC12346228	2025
38540692	2024
39056591	2024
40849328	2025
41132844	2025
38474138	2024
39042328	2024
39511863	2025
41473577	2025
40295799	2025
41356204	2026
40687013	2025
41261040	2025
PPR932253	2024
40394402	2025
37632039	2023
38232955	2024
39343002	2024
41477321	2025
39495093	2025
40367237	2025
37809905	2023
40683864	2025
37838171	2023
38716930	2024
38390876	2024
39293861	2024
36503896	2023
39276019	2024
39857717	2025
39201466	2024
38277241	2024
39363348	2024
40843679	2025
40587580	2025
40240434	2025
40715275	2025
38410776	2024
38857861	2024
40558534	2025
41304853	2025
41311400	2025
40507995	2025
38131790	2023
36034590	2022
39138527	2024
40191889	2025
40849515	2025
40975173	2025
39453827	2024
38396748	2024
38222562	2024
40168061	2025
37778269	2023
39358511	2024
38535791	2024
38964729	2024
PPR1031809	2025
40961242	2025
36997993	2023
38499490	2024
39339254	2024
39470630	2024
39263982	2024
40490540	2025
38474490	2024
38418456	2024
41283690	2025
38059302	2024
37863262	2023
39020051	2024
37762571	2023
40368883	2025
41155944	2025
39042676	2024
41476966	2025
38803224	2024
PMC12335033	2025
38894924	2024
37838173	2023
39431879	2024
40565280	2025
40276647	2025
37855619	2023
40615777	2025
39144567	2024
39015284	2024
36788208	2023
38655884	2024
36560700	2022
41305519	2025
41053036	2025
37122559	2023
40397286	2025
38958532	2024
37420940	2023
38402256	2024
40810921	2025
38191593	2024
38069040	2023
37477617	2023
38282676	2023
39201368	2024
39347456	2024
39257531	2024
38709834	2024
37467617	2023
39122001	2024
40173087	2025
40877079	2025
37660906	2023
37762645	2023
38032933	2023
PMC12123458	2025-06-02
39528459	2024
38444705	2023
41189595	2025
40947578	2025
38508723	2024
40575783	2025
38723177	2024
41083456	2025
PPR966331	2025
39590277	2024
PMC12341598	2025
41381506	2025
40943210	2025
39182119	2024
PPR1073982	2025
41110554	2025
39604002	2024
PPR631302	2023
38520065	2024
40720780	2025
38429732	2024
PMC12138067	2025
39303708	2024
40240482	2025
38346398	2024
41193805	2026
38468333	2024
38032258	2024
34791512	2022
40884041	2025
39054536	2024
38400013	2024
40624014	2025
40404614	2025
39938509	2025
38707424	2024
39737810	2025
35366482	2022
39457672	2024
38698905	2024
39852074	2025
38992922	2024
39142424	2024
37469515	2023
39532904	2024
40124519	2025
39028820	2024
37287025	2023
41182901	2025
38818057	2024
38625402	2024
39010928	2024
40253628	2025
40331607	2025
38294241	2024
39296801	2024
40328740	2025
41473206	2025
39519234	2024
39339453	2024
39329537	2024
40539804	2025
39174515	2024
40514378	2025
40332432	2025
PPR1134977	2025
40005213	2025
40663398	2025
35588275	2022
38256088	2024
41244382	2025
39105809	2024
39246747	2024
39703131	2025
39715280	2024
39334852	2024
37345274	2023
37251485	2023
39338529	2024
38019733	2023
39920086	2025
38980078	2024
41294392	2025
39931737	2025
37233458	2023
39127753	2024
PMC10912870	2023
40109477	2025
PPR846643	2024
38732912	2024
38898955	2024
40170230	2025
36944702	2023
38360912	2024
37575393	2023
36239134	2022
38500145	2024
37571527	2023
37982608	2023
38739752	2024
38751788	2024
PPR572596	2022
39979593	2025
38408177	2024
39987117	2025
37554517	2023
37035164	2023
40852899	2025
40229277	2025
39220525	2024
37965557	2023
35186213	2022
39705215	2024
39487762	2024
40244081	2025
41198628	2025
PPR610388	2023
38203618	2023
40986343	2025
40312358	2025
38338870	2024
40225566	2025
38894912	2024
38291578	2024
40430706	2025
41022699	2025
38550581	2024
38938560	2024
40687994	2025
39192264	2024
40556779	2025
41155520	2025
39040024	2024
38357739	2024
40707993	2025
37074531	2023
38042495	2024
39865354	2025
38994400	2024
40338637	2025
41085029	2025
39149911	2024
40125621	2025
40200275	2025
40376887	2025
41315267	2025
36511224	2023
40168357	2025
41377659	2025
41070524	2025
39645583	2025
38953634	2024
39770758	2024
39499257	2025
37762326	2023
PPR990140	2025
38484799	2024
39245969	2024
40947562	2025
40279549	2025
39659681	2024
40231473	2025
41290519	2025
39674645	2024
38537698	2024
40665883	2025
39065742	2024
40214545	2025
40301912	2025
41166443	2025
40208866	2025
39500906	2024
PPR591264	2023
36598875	2023
37938456	2023
40593625	2025
39976108	2025
41205294	2025
37624247	2023
39246372	2024
40582993	2025
40347515	2025
40975172	2025
40219553	2025
41120290	2025
36618074	2022
39108557	2024
38437497	2024
41370262	2025
40210888	2025
40066227	2025
39084460	2024
38753630	2024
37861467	2023
40156861	2025
PPR548923	2022
38639993	2024
PMC12133102	2025-06-06
41094454	2025
36172167	2022
40026334	2025
PPR694516	2023
40914077	2025
40584327	2025
40752578	2025
40205025	2025
40021214	2025
39940187	2025
40920545	2025
38401844	2024
40524961	2025
36831938	2023
37759746	2023
39670513	2025
38591617	2024
40558436	2025
PMC12346351	2025
39212313	2024
40149571	2025
37280310	2023
36322414	2022
37957672	2023
37478333	2023
39026646	2024
38830951	2024
40759445	2025
36658700	2023
PPR990864	2025
40338229	2025
PMC12397386	2025
39272600	2024
41375167	2025
PPR540875	2022
39495097	2025
38911161	2024
40124384	2025
41100734	2025
37873862	2023
40547623	2025
40502542	2025
40419139	2025
41164431	2025
37569174	2023
37506293	2023
39180081	2024
40073123	2025
36078598	2022
39195399	2024
38613352	2024
40003883	2025
40403225	2025
40633540	2025
34343911	2021
39228125	2024
